CCAA de estudio;Sexo;Tipo de centro;Habilidades TIC;Total
Rioja, La;Ambos sexos;Centro Público;Usuario de nivel avanzado;422
Rioja, La;Ambos sexos;Centro Público;Usuario de nivel básico;62
Rioja, La;Ambos sexos;Centro Público;No usuario de las TIC;3
Rioja, La;Ambos sexos;Centro Público;No consta;0
Rioja, La;Ambos sexos;Centro Privado;Total;104
Rioja, La;Ambos sexos;Centro Privado;Usuario experto;12
Rioja, La;Ambos sexos;Centro Privado;Usuario de nivel avanzado;74
Rioja, La;Ambos sexos;Centro Privado;Usuario de nivel básico;18
Rioja, La;Ambos sexos;Centro Privado;No usuario de las TIC;0
Rioja, La;Ambos sexos;Centro Privado;No consta;0
Rioja, La;Hombres;Total;Total;365
Rioja, La;Hombres;Total;Usuario experto;128
Rioja, La;Hombres;Total;Usuario de nivel avanzado;209
Rioja, La;Hombres;Total;Usuario de nivel básico;25
Rioja, La;Hombres;Total;No usuario de las TIC;3
Rioja, La;Hombres;Total;No consta;0
Rioja, La;Hombres;Centro Público;Total;329
Rioja, La;Hombres;Centro Público;Usuario experto;126
Rioja, La;Hombres;Centro Público;Usuario de nivel avanzado;180
Rioja, La;Hombres;Centro Público;Usuario de nivel básico;20
Rioja, La;Hombres;Centro Público;No usuario de las TIC;3
Rioja, La;Hombres;Centro Público;No consta;0
Rioja, La;Hombres;Centro Privado;Total;36
Rioja, La;Hombres;Centro Privado;Usuario experto;1
Rioja, La;Hombres;Centro Privado;Usuario de nivel avanzado;29
Rioja, La;Hombres;Centro Privado;Usuario de nivel básico;5
Rioja, La;Hombres;Centro Privado;No usuario de las TIC;0
Rioja, La;Hombres;Centro Privado;No consta;0
Rioja, La;Mujeres;Total;Total;396
Rioja, La;Mujeres;Total;Usuario experto;54
Rioja, La;Mujeres;Total;Usuario de nivel avanzado;287
Rioja, La;Mujeres;Total;Usuario de nivel básico;55
Rioja, La;Mujeres;Total;No usuario de las TIC;0
Rioja, La;Mujeres;Total;No consta;0
Rioja, La;Mujeres;Centro Público;Total;328
Rioja, La;Mujeres;Centro Público;Usuario experto;44
Rioja, La;Mujeres;Centro Público;Usuario de nivel avanzado;242
Rioja, La;Mujeres;Centro Público;Usuario de nivel básico;42
Rioja, La;Mujeres;Centro Público;No usuario de las TIC;0
Rioja, La;Mujeres;Centro Público;No consta;0
Rioja, La;Mujeres;Centro Privado;Total;68
Rioja, La;Mujeres;Centro Privado;Usuario experto;10
Rioja, La;Mujeres;Centro Privado;Usuario de nivel avanzado;45
Rioja, La;Mujeres;Centro Privado;Usuario de nivel básico;13
Rioja, La;Mujeres;Centro Privado;No usuario de las TIC;0
Rioja, La;Mujeres;Centro Privado;No consta;0
Ceuta;Ambos sexos;Total;Total;218
Ceuta;Ambos sexos;Total;Usuario experto;34
Ceuta;Ambos sexos;Total;Usuario de nivel avanzado;133
Ceuta;Ambos sexos;Total;Usuario de nivel básico;51
Ceuta;Ambos sexos;Total;No usuario de las TIC;0
Ceuta;Ambos sexos;Total;No consta;0
Ceuta;Ambos sexos;Centro Público;Total;218
Ceuta;Ambos sexos;Centro Público;Usuario experto;34
Ceuta;Ambos sexos;Centro Público;Usuario de nivel avanzado;133
Ceuta;Ambos sexos;Centro Público;Usuario de nivel básico;51
Ceuta;Ambos sexos;Centro Público;No usuario de las TIC;0
Ceuta;Ambos sexos;Centro Público;No consta;0
Ceuta;Ambos sexos;Centro Privado;Total;0
Ceuta;Ambos sexos;Centro Privado;Usuario experto;0
Ceuta;Ambos sexos;Centro Privado;Usuario de nivel avanzado;0
Ceuta;Ambos sexos;Centro Privado;Usuario de nivel básico;0
Ceuta;Ambos sexos;Centro Privado;No usuario de las TIC;0
Ceuta;Ambos sexos;Centro Privado;No consta;0
Ceuta;Hombres;Total;Total;96
Ceuta;Hombres;Total;Usuario experto;27
Ceuta;Hombres;Total;Usuario de nivel avanzado;48
Ceuta;Hombres;Total;Usuario de nivel básico;21
Ceuta;Hombres;Total;No usuario de las TIC;0
Ceuta;Hombres;Total;No consta;0
Ceuta;Hombres;Centro Público;Total;96
Ceuta;Hombres;Centro Público;Usuario experto;27
Ceuta;Hombres;Centro Público;Usuario de nivel avanzado;48
Ceuta;Hombres;Centro Público;Usuario de nivel básico;21
Ceuta;Hombres;Centro Público;No usuario de las TIC;0
Ceuta;Hombres;Centro Público;No consta;0
Ceuta;Hombres;Centro Privado;Total;0
Ceuta;Hombres;Centro Privado;Usuario experto;0
Ceuta;Hombres;Centro Privado;Usuario de nivel avanzado;0
Ceuta;Hombres;Centro Privado;Usuario de nivel básico;0
Ceuta;Hombres;Centro Privado;No usuario de las TIC;0
Ceuta;Hombres;Centro Privado;No consta;0
Ceuta;Mujeres;Total;Total;122
Ceuta;Mujeres;Total;Usuario experto;7
Ceuta;Mujeres;Total;Usuario de nivel avanzado;85
Ceuta;Mujeres;Total;Usuario de nivel básico;30
Ceuta;Mujeres;Total;No usuario de las TIC;0
Ceuta;Mujeres;Total;No consta;0
Ceuta;Mujeres;Centro Público;Total;122
Ceuta;Mujeres;Centro Público;Usuario experto;7
Ceuta;Mujeres;Centro Público;Usuario de nivel avanzado;85
Ceuta;Mujeres;Centro Público;Usuario de nivel básico;30
Ceuta;Mujeres;Centro Público;No usuario de las TIC;0
Ceuta;Mujeres;Centro Público;No consta;0
Ceuta;Mujeres;Centro Privado;Total;0
Ceuta;Mujeres;Centro Privado;Usuario experto;0
Ceuta;Mujeres;Centro Privado;Usuario de nivel avanzado;0
Ceuta;Mujeres;Centro Privado;Usuario de nivel básico;0
Ceuta;Mujeres;Centro Privado;No usuario de las TIC;0
Ceuta;Mujeres;Centro Privado;No consta;0
Melilla;Ambos sexos;Total;Total;175
Melilla;Ambos sexos;Total;Usuario experto;39
Melilla;Ambos sexos;Total;Usuario de nivel avanzado;102
Melilla;Ambos sexos;Total;Usuario de nivel básico;29
Melilla;Ambos sexos;Total;No usuario de las TIC;5
Melilla;Ambos sexos;Total;No consta;0
Melilla;Ambos sexos;Centro Público;Total;175
Melilla;Ambos sexos;Centro Público;Usuario experto;39
Melilla;Ambos sexos;Centro Público;Usuario de nivel avanzado;102
Melilla;Ambos sexos;Centro Público;Usuario de nivel básico;29
Melilla;Ambos sexos;Centro Público;No usuario de las TIC;5
Melilla;Ambos sexos;Centro Público;No consta;0
Melilla;Ambos sexos;Centro Privado;Total;0
Melilla;Ambos sexos;Centro Privado;Usuario experto;0
Melilla;Ambos sexos;Centro Privado;Usuario de nivel avanzado;0
Melilla;Ambos sexos;Centro Privado;Usuario de nivel básico;0
Melilla;Ambos sexos;Centro Privado;No usuario de las TIC;0
Melilla;Ambos sexos;Centro Privado;No consta;0
Melilla;Hombres;Total;Total;63
Melilla;Hombres;Total;Usuario experto;25
Melilla;Hombres;Total;Usuario de nivel avanzado;30
Melilla;Hombres;Total;Usuario de nivel básico;7
Melilla;Hombres;Total;No usuario de las TIC;0
Melilla;Hombres;Total;No consta;0
Melilla;Hombres;Centro Público;Total;63
Melilla;Hombres;Centro Público;Usuario experto;25
Melilla;Hombres;Centro Público;Usuario de nivel avanzado;30
Melilla;Hombres;Centro Público;Usuario de nivel básico;7
Melilla;Hombres;Centro Público;No usuario de las TIC;0
Melilla;Hombres;Centro Público;No consta;0
Melilla;Hombres;Centro Privado;Total;0
Melilla;Hombres;Centro Privado;Usuario experto;0
Melilla;Hombres;Centro Privado;Usuario de nivel avanzado;0
Melilla;Hombres;Centro Privado;Usuario de nivel básico;0
Melilla;Hombres;Centro Privado;No usuario de las TIC;0
Melilla;Hombres;Centro Privado;No consta;0
Melilla;Mujeres;Total;Total;112
Melilla;Mujeres;Total;Usuario experto;13
Melilla;Mujeres;Total;Usuario de nivel avanzado;72
Melilla;Mujeres;Total;Usuario de nivel básico;22
Melilla;Mujeres;Total;No usuario de las TIC;5
Melilla;Mujeres;Total;No consta;0
Melilla;Mujeres;Centro Público;Total;112
Melilla;Mujeres;Centro Público;Usuario experto;13
Melilla;Mujeres;Centro Público;Usuario de nivel avanzado;72
Melilla;Mujeres;Centro Público;Usuario de nivel básico;22
Melilla;Mujeres;Centro Público;No usuario de las TIC;5
Melilla;Mujeres;Centro Público;No consta;0
Melilla;Mujeres;Centro Privado;Total;0
Melilla;Mujeres;Centro Privado;Usuario experto;0
Melilla;Mujeres;Centro Privado;Usuario de nivel avanzado;0
Melilla;Mujeres;Centro Privado;Usuario de nivel básico;0
Melilla;Mujeres;Centro Privado;No usuario de las TIC;0
Melilla;Mujeres;Centro Privado;No consta;0
